=== RADAR COMMUNICATIONS LOG ===
City: New York
Application started: 2025-12-10 16:33:41
==================================================
[16:33:48] Radar communication initialized for New York
[16:36:50] ⚠️ Warning: Emily #6 and Amanda #6 are 90.2 units apart
[16:36:50] ⚠️ CRITICAL: Chris #6 and Robert #6 are 30.5 units apart - COLLISION RISK!
[16:36:50] ⚠️ CRITICAL: Chris #6 and Sarah #8 are 12.3 units apart - COLLISION RISK!
[16:36:50] ⚠️ Warning: Chris #6 and Chris #8 are 86.1 units apart
[16:36:50] ⚠️ Warning: Chris #6 and Amanda #9 are 93.1 units apart
[16:36:50] ⚠️ CRITICAL: Amanda #6 and Lisa #8 are 36.3 units apart - COLLISION RISK!
[16:36:50] ⚠️ CRITICAL: Robert #6 and Sarah #8 are 33.4 units apart - COLLISION RISK!
[16:36:50] ⚠️ Warning: Robert #6 and Amanda #9 are 97.0 units apart
[16:36:50] ⚠️ CRITICAL: Jane #7 and Sarah #7 are 40.3 units apart - COLLISION RISK!
[16:36:50] ⚠️ Warning: Michael #7 and Emily #10 are 93.1 units apart
[16:36:50] ⚠️ CRITICAL: Chris #7 and Jane #8 are 43.2 units apart - COLLISION RISK!
[16:36:50] ⚠️ Warning: Chris #7 and John #10 are 67.4 units apart
[16:36:51] ⚠️ Warning: Amanda #7 and John #9 are 93.3 units apart
[16:36:51] ⚠️ Warning: Lisa #7 and Michael #8 are 85.5 units apart
[16:36:51] ⚠️ Warning: Lisa #7 and Emily #10 are 93.4 units apart
[16:36:51] ⚠️ Warning: Michael #8 and Chris #8 are 53.4 units apart
[16:36:51] ⚠️ Warning: Sarah #8 and Chris #8 are 92.8 units apart
[16:36:51] ⚠️ Warning: Sarah #8 and Amanda #9 are 80.8 units apart
[16:36:51] ⚠️ Warning: Sarah #8 and Jane #10 are 98.0 units apart
[16:36:51] ⚠️ Warning: David #8 and Chris #9 are 67.2 units apart
[16:36:51] ⚠️ Warning: Emily #8 and Sarah #10 are 72.3 units apart
[16:36:51] ⚠️ Warning: Emily #8 and David #10 are 59.4 units apart
[16:36:51] ⚠️ Warning: Jane #9 and Michael #10 are 68.2 units apart
[16:36:51] ⚠️ CRITICAL: Jane #9 and Chris #10 are 6.6 units apart - COLLISION RISK!
[16:36:51] ⚠️ Warning: Sarah #9 and David #9 are 82.7 units apart
[16:36:51] ⚠️ CRITICAL: David #9 and Lisa #9 are 37.1 units apart - COLLISION RISK!
[16:36:51] ⚠️ Warning: Amanda #9 and Jane #10 are 63.4 units apart
[16:36:51] ⚠️ Warning: Michael #10 and Chris #10 are 63.0 units apart
[16:36:51] ⚠️ CRITICAL: Sarah #10 and David #10 are 24.9 units apart - COLLISION RISK!
[16:36:51] Emily #9 moving 🚀 Southeast (790 units)
[16:36:51] Michael #1 moving 🚀 Southeast (774 units)
[16:36:51] Chris #1 moving 🚀 South (825 units)
[16:36:51] Lisa #10 moving 🚀 Southwest (431 units)
[16:36:51] Michael #6 moving 🚀 East (883 units)
[16:36:51] Emily #10 moving 🚀 North (403 units)
[16:36:51] Amanda #3 moving 🚀 Southwest (1019 units)
[16:36:51] Sarah #2 moving 🚀 North (1083 units)
[16:36:51] John #3 moving 🚀 Southwest (935 units)
[16:36:52] ⚠️ Warning: Jane #1 and Emily #1 are 89.6 units apart
[16:36:52] ⚠️ CRITICAL: Jane #1 and Robert #8 are 17.2 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Michael #1 and Emily #8 are 79.8 units apart
[16:36:52] ⚠️ Warning: Michael #1 and David #10 are 51.5 units apart
[16:36:52] ⚠️ Warning: Sarah #1 and Amanda #5 are 95.9 units apart
[16:36:52] ⚠️ Warning: Sarah #1 and Chris #6 are 83.0 units apart
[16:36:52] ⚠️ Warning: Sarah #1 and Robert #6 are 74.8 units apart
[16:36:52] ⚠️ Warning: Sarah #1 and Michael #8 are 64.5 units apart
[16:36:52] ⚠️ CRITICAL: Sarah #1 and Sarah #8 are 38.5 units apart - COLLISION RISK!
[16:36:52] ⚠️ CRITICAL: Sarah #1 and Chris #8 are 40.3 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Sarah #1 and Amanda #9 are 92.7 units apart
[16:36:52] ⚠️ CRITICAL: Sarah #1 and Jane #10 are 38.6 units apart - COLLISION RISK!
[16:36:52] ⚠️ CRITICAL: Emily #1 and Lisa #1 are 42.6 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Emily #1 and Jane #4 are 51.6 units apart
[16:36:52] ⚠️ Warning: Emily #1 and Robert #8 are 77.5 units apart
[16:36:52] ⚠️ Warning: Amanda #1 and Chris #7 are 85.0 units apart
[16:36:52] ⚠️ CRITICAL: Amanda #1 and Emily #8 are 43.3 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Amanda #1 and David #10 are 75.2 units apart
[16:36:52] ⚠️ CRITICAL: Lisa #1 and Jane #4 are 11.2 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Lisa #1 and Emily #5 are 84.4 units apart
[16:36:52] ⚠️ Warning: John #2 and Jane #7 are 84.5 units apart
[16:36:52] ⚠️ Warning: John #2 and Sarah #7 are 95.8 units apart
[16:36:52] ⚠️ Warning: Jane #2 and Emily #2 are 94.3 units apart
[16:36:52] ⚠️ Warning: Michael #2 and Michael #3 are 51.5 units apart
[16:36:52] ⚠️ Warning: Michael #2 and John #6 are 60.7 units apart
[16:36:52] ⚠️ Warning: Sarah #2 and Emily #2 are 87.9 units apart
[16:36:52] ⚠️ CRITICAL: Sarah #2 and John #5 are 27.4 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: David #2 and Michael #6 are 53.4 units apart
[16:36:52] ⚠️ Warning: David #2 and David #7 are 98.3 units apart
[16:36:52] ⚠️ Warning: David #2 and Michael #9 are 74.6 units apart
[16:36:52] ⚠️ Warning: Emily #2 and John #5 are 67.7 units apart
[16:36:52] ⚠️ CRITICAL: Chris #2 and Emily #7 are 40.8 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Amanda #2 and Michael #4 are 72.2 units apart
[16:36:52] ⚠️ CRITICAL: Amanda #2 and Emily #4 are 30.4 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Amanda #2 and Robert #10 are 63.1 units apart
[16:36:52] ⚠️ Warning: Lisa #2 and Sarah #3 are 81.2 units apart
[16:36:52] ⚠️ CRITICAL: Lisa #2 and Amanda #6 are 9.8 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Lisa #2 and Jane #7 are 84.7 units apart
[16:36:52] ⚠️ Warning: Lisa #2 and Lisa #8 are 79.2 units apart
[16:36:52] ⚠️ Warning: John #3 and Robert #3 are 75.2 units apart
[16:36:52] ⚠️ Warning: John #3 and Amanda #4 are 63.7 units apart
[16:36:52] ⚠️ Warning: Jane #3 and David #3 are 91.0 units apart
[16:36:52] ⚠️ Warning: Sarah #3 and Amanda #6 are 72.7 units apart
[16:36:52] ⚠️ CRITICAL: David #3 and Chris #4 are 30.6 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: David #3 and Chris #6 are 97.7 units apart
[16:36:52] ⚠️ Warning: David #3 and Michael #7 are 89.0 units apart
[16:36:52] ⚠️ CRITICAL: David #3 and Lisa #7 are 35.2 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: David #3 and Michael #8 are 76.0 units apart
[16:36:52] ⚠️ CRITICAL: Emily #3 and Emily #6 are 20.4 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Amanda #3 and John #4 are 63.6 units apart
[16:36:52] ⚠️ Warning: Amanda #3 and Michael #10 are 76.0 units apart
[16:36:52] ⚠️ Warning: Robert #3 and Michael #5 are 82.1 units apart
[16:36:52] ⚠️ Warning: Lisa #3 and Michael #6 are 72.6 units apart
[16:36:52] ⚠️ Warning: Jane #4 and Emily #5 are 78.5 units apart
[16:36:52] ⚠️ CRITICAL: Michael #4 and Emily #4 are 44.3 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Michael #4 and Amanda #5 are 55.8 units apart
[16:36:52] ⚠️ Warning: Michael #4 and Amanda #9 are 65.0 units apart
[16:36:52] ⚠️ Warning: Michael #4 and Jane #10 are 92.0 units apart
[16:36:52] ⚠️ Warning: Emily #4 and Amanda #5 are 91.1 units apart
[16:36:52] ⚠️ Warning: Emily #4 and Amanda #9 are 99.6 units apart
[16:36:52] ⚠️ Warning: Emily #4 and Robert #10 are 64.5 units apart
[16:36:52] ⚠️ Warning: Chris #4 and Chris #6 are 68.0 units apart
[16:36:52] ⚠️ Warning: Chris #4 and Lisa #7 are 53.2 units apart
[16:36:52] ⚠️ CRITICAL: Chris #4 and Michael #8 are 48.1 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Chris #4 and Chris #8 are 94.6 units apart
[16:36:52] ⚠️ Warning: Amanda #4 and Emily #5 are 57.7 units apart
[16:36:52] ⚠️ Warning: Lisa #4 and Chris #10 are 90.1 units apart
[16:36:52] ⚠️ Warning: Michael #5 and Robert #7 are 76.7 units apart
[16:36:52] ⚠️ Warning: Sarah #5 and Chris #5 are 53.1 units apart
[16:36:52] ⚠️ Warning: David #5 and Lisa #5 are 90.4 units apart
[16:36:52] ⚠️ Warning: David #5 and Robert #10 are 96.7 units apart
[16:36:52] ⚠️ Warning: Amanda #5 and Robert #6 are 91.3 units apart
[16:36:52] ⚠️ CRITICAL: Amanda #5 and Amanda #9 are 9.2 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Amanda #5 and Jane #10 are 68.6 units apart
[16:36:52] ⚠️ Warning: Robert #5 and David #9 are 61.8 units apart
[16:36:52] ⚠️ CRITICAL: Robert #5 and Lisa #9 are 30.5 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Lisa #5 and David #6 are 77.5 units apart
[16:36:52] ⚠️ CRITICAL: Lisa #5 and Robert #10 are 49.0 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: John #6 and Sarah #6 are 93.1 units apart
[16:36:52] ⚠️ Warning: Jane #6 and Lisa #10 are 55.7 units apart
[16:36:52] ⚠️ CRITICAL: Sarah #6 and Amanda #7 are 33.3 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Sarah #6 and John #9 are 77.3 units apart
[16:36:52] ⚠️ Warning: David #6 and Emily #8 are 80.7 units apart
[16:36:52] ⚠️ Warning: Emily #6 and Lisa #8 are 83.2 units apart
[16:36:52] ⚠️ Warning: Chris #6 and Robert #6 are 70.1 units apart
[16:36:52] ⚠️ Warning: Chris #6 and Michael #8 are 50.1 units apart
[16:36:52] ⚠️ Warning: Chris #6 and Sarah #8 are 50.9 units apart
[16:36:52] ⚠️ CRITICAL: Chris #6 and Chris #8 are 46.0 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Amanda #6 and Jane #7 are 88.4 units apart
[16:36:52] ⚠️ Warning: Amanda #6 and Lisa #8 are 74.4 units apart
[16:36:52] ⚠️ Warning: Robert #6 and Michael #8 are 98.4 units apart
[16:36:52] ⚠️ CRITICAL: Robert #6 and Sarah #8 are 44.2 units apart - COLLISION RISK!
[16:36:52] ⚠️ CRITICAL: Robert #6 and Chris #8 are 48.1 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Robert #6 and Amanda #9 are 82.7 units apart
[16:36:52] ⚠️ Warning: Robert #6 and Jane #10 are 89.6 units apart
[16:36:52] ⚠️ Warning: Lisa #6 and David #8 are 86.9 units apart
[16:36:52] ⚠️ CRITICAL: Lisa #6 and Chris #9 are 35.1 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: John #7 and Robert #7 are 52.7 units apart
[16:36:52] ⚠️ Warning: Jane #7 and Sarah #7 are 63.2 units apart
[16:36:52] ⚠️ Warning: Michael #7 and Lisa #7 are 53.8 units apart
[16:36:52] ⚠️ Warning: Michael #7 and Emily #10 are 88.6 units apart
[16:36:52] ⚠️ Warning: Sarah #7 and Jane #10 are 77.2 units apart
[16:36:52] ⚠️ Warning: David #7 and Michael #9 are 55.1 units apart
[16:36:52] ⚠️ Warning: Chris #7 and Jane #8 are 56.9 units apart
[16:36:52] ⚠️ Warning: Amanda #7 and John #9 are 71.9 units apart
[16:36:52] ⚠️ Warning: Lisa #7 and Michael #8 are 83.1 units apart
[16:36:52] ⚠️ Warning: John #8 and John #10 are 97.6 units apart
[16:36:52] ⚠️ Warning: Michael #8 and Sarah #8 are 57.8 units apart
[16:36:52] ⚠️ Warning: Michael #8 and Chris #8 are 52.2 units apart
[16:36:52] ⚠️ CRITICAL: Sarah #8 and Chris #8 are 6.0 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Sarah #8 and Amanda #9 are 97.4 units apart
[16:36:52] ⚠️ Warning: Sarah #8 and Jane #10 are 68.9 units apart
[16:36:52] ⚠️ Warning: David #8 and Chris #9 are 58.1 units apart
[16:36:52] ⚠️ Warning: Emily #8 and David #10 are 59.5 units apart
[16:36:52] ⚠️ Warning: Chris #8 and Jane #10 are 72.9 units apart
[16:36:52] ⚠️ Warning: Jane #9 and Michael #10 are 85.8 units apart
[16:36:52] ⚠️ Warning: Jane #9 and Chris #10 are 77.9 units apart
[16:36:52] ⚠️ Warning: Sarah #9 and David #9 are 79.1 units apart
[16:36:52] ⚠️ CRITICAL: David #9 and Lisa #9 are 38.9 units apart - COLLISION RISK!
[16:36:52] ⚠️ Warning: Amanda #9 and Jane #10 are 68.6 units apart
[16:36:52] ⚠️ Warning: Michael #10 and Chris #10 are 50.3 units apart
[16:36:52] ⚠️ Warning: Sarah #10 and David #10 are 89.6 units apart
[16:36:52] David #4 moving 🚀 Southwest (810 units)
[16:36:52] Sarah #6 moving 🚀 Northeast (1275 units)
[16:36:53] ⚠️ Warning: John #1 and Robert #4 are 58.8 units apart
[16:36:53] ⚠️ Warning: Jane #1 and Emily #1 are 89.7 units apart
[16:36:53] ⚠️ CRITICAL: Michael #1 and David #10 are 36.3 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Sarah #1 and Michael #4 are 51.1 units apart
[16:36:53] ⚠️ Warning: Sarah #1 and Amanda #5 are 87.7 units apart
[16:36:53] ⚠️ Warning: Sarah #1 and Robert #6 are 55.9 units apart
[16:36:53] ⚠️ CRITICAL: Sarah #1 and Sarah #7 are 18.2 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Sarah #1 and Michael #8 are 94.9 units apart
[16:36:53] ⚠️ Warning: Sarah #1 and Sarah #8 are 66.3 units apart
[16:36:53] ⚠️ Warning: Sarah #1 and Chris #8 are 82.3 units apart
[16:36:53] ⚠️ Warning: Sarah #1 and Amanda #9 are 50.3 units apart
[16:36:53] ⚠️ CRITICAL: Sarah #1 and Jane #10 are 48.0 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: Emily #1 and Jane #4 are 38.2 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Emily #1 and Sarah #4 are 55.8 units apart
[16:36:53] ⚠️ Warning: Emily #1 and Robert #8 are 57.7 units apart
[16:36:53] ⚠️ Warning: Chris #1 and Robert #5 are 72.5 units apart
[16:36:53] ⚠️ Warning: Amanda #1 and David #6 are 83.7 units apart
[16:36:53] ⚠️ Warning: Amanda #1 and Chris #7 are 88.5 units apart
[16:36:53] ⚠️ CRITICAL: Amanda #1 and Emily #8 are 37.0 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: Robert #1 and Michael #2 are 36.3 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Robert #1 and Michael #3 are 67.9 units apart
[16:36:53] ⚠️ Warning: Lisa #1 and Jane #4 are 85.1 units apart
[16:36:53] ⚠️ Warning: John #2 and Amanda #2 are 69.8 units apart
[16:36:53] ⚠️ Warning: John #2 and Michael #4 are 52.8 units apart
[16:36:53] ⚠️ Warning: John #2 and Emily #4 are 80.2 units apart
[16:36:53] ⚠️ Warning: John #2 and Amanda #5 are 74.5 units apart
[16:36:53] ⚠️ Warning: John #2 and Amanda #9 are 75.9 units apart
[16:36:53] ⚠️ Warning: Jane #2 and Emily #2 are 90.6 units apart
[16:36:53] ⚠️ CRITICAL: Michael #2 and Michael #3 are 42.6 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Sarah #2 and John #5 are 67.1 units apart
[16:36:53] ⚠️ Warning: David #2 and Michael #6 are 76.1 units apart
[16:36:53] ⚠️ Warning: Emily #2 and John #5 are 98.7 units apart
[16:36:53] ⚠️ Warning: Chris #2 and Jane #5 are 68.3 units apart
[16:36:53] ⚠️ Warning: Amanda #2 and Michael #4 are 69.2 units apart
[16:36:53] ⚠️ Warning: Amanda #2 and Emily #4 are 65.4 units apart
[16:36:53] ⚠️ CRITICAL: Amanda #2 and Amanda #5 are 24.3 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Amanda #2 and Amanda #9 are 59.3 units apart
[16:36:53] ⚠️ Warning: Amanda #2 and Robert #10 are 72.9 units apart
[16:36:53] ⚠️ Warning: Lisa #2 and Sarah #3 are 71.4 units apart
[16:36:53] ⚠️ CRITICAL: Lisa #2 and Amanda #6 are 5.9 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: Lisa #2 and Jane #7 are 48.3 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: John #3 and Amanda #4 are 56.2 units apart
[16:36:53] ⚠️ Warning: John #3 and Emily #5 are 90.6 units apart
[16:36:53] ⚠️ CRITICAL: Jane #3 and David #3 are 48.0 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Jane #3 and Emily #10 are 83.7 units apart
[16:36:53] ⚠️ Warning: Sarah #3 and Amanda #6 are 65.5 units apart
[16:36:53] ⚠️ Warning: Sarah #3 and Jane #7 are 63.3 units apart
[16:36:53] ⚠️ Warning: David #3 and Chris #4 are 92.7 units apart
[16:36:53] ⚠️ Warning: David #3 and Chris #6 are 77.9 units apart
[16:36:53] ⚠️ Warning: David #3 and Michael #7 are 80.4 units apart
[16:36:53] ⚠️ Warning: David #3 and Emily #10 are 92.5 units apart
[16:36:53] ⚠️ Warning: Emily #3 and Emily #6 are 77.8 units apart
[16:36:53] ⚠️ CRITICAL: Emily #3 and Lisa #8 are 15.3 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: Amanda #3 and John #4 are 44.7 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: Amanda #3 and Michael #10 are 27.2 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Amanda #3 and Emily #10 are 62.1 units apart
[16:36:53] ⚠️ CRITICAL: Amanda #3 and Chris #10 are 35.8 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Robert #3 and Michael #5 are 79.5 units apart
[16:36:53] ⚠️ Warning: Lisa #3 and Michael #6 are 57.5 units apart
[16:36:53] ⚠️ CRITICAL: Lisa #3 and John #8 are 41.9 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: John #4 and Michael #10 are 42.5 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: John #4 and Emily #10 are 84.0 units apart
[16:36:53] ⚠️ Warning: John #4 and Chris #10 are 75.7 units apart
[16:36:53] ⚠️ Warning: Jane #4 and Sarah #4 are 71.7 units apart
[16:36:53] ⚠️ Warning: Jane #4 and Robert #8 are 90.4 units apart
[16:36:53] ⚠️ Warning: Michael #4 and Amanda #5 are 55.4 units apart
[16:36:53] ⚠️ Warning: Michael #4 and Robert #6 are 92.4 units apart
[16:36:53] ⚠️ Warning: Michael #4 and Sarah #7 are 55.2 units apart
[16:36:53] ⚠️ CRITICAL: Michael #4 and Amanda #9 are 31.3 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Michael #4 and Jane #10 are 89.8 units apart
[16:36:53] ⚠️ CRITICAL: Sarah #4 and Robert #8 are 41.0 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Emily #4 and Amanda #5 are 89.1 units apart
[16:36:53] ⚠️ CRITICAL: Chris #4 and Chris #6 are 31.4 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Chris #4 and Lisa #7 are 79.9 units apart
[16:36:53] ⚠️ Warning: Chris #4 and Michael #8 are 66.1 units apart
[16:36:53] ⚠️ Warning: Chris #4 and Sarah #8 are 99.5 units apart
[16:36:53] ⚠️ Warning: Amanda #4 and Robert #9 are 50.0 units apart
[16:36:53] ⚠️ Warning: Sarah #5 and Chris #5 are 76.6 units apart
[16:36:53] ⚠️ CRITICAL: David #5 and Lisa #5 are 24.6 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: David #5 and Robert #10 are 35.5 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Amanda #5 and Robert #6 are 98.2 units apart
[16:36:53] ⚠️ CRITICAL: Amanda #5 and Amanda #9 are 37.4 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Amanda #5 and Robert #10 are 76.7 units apart
[16:36:53] ⚠️ Warning: Lisa #5 and Amanda #8 are 96.6 units apart
[16:36:53] ⚠️ Warning: Lisa #5 and Robert #10 are 59.1 units apart
[16:36:53] ⚠️ Warning: John #6 and Sarah #6 are 85.2 units apart
[16:36:53] ⚠️ Warning: John #6 and Amanda #7 are 92.2 units apart
[16:36:53] ⚠️ Warning: Jane #6 and Lisa #10 are 95.5 units apart
[16:36:53] ⚠️ Warning: Michael #6 and John #8 are 87.8 units apart
[16:36:53] ⚠️ Warning: Sarah #6 and Amanda #7 are 71.9 units apart
[16:36:53] ⚠️ Warning: Sarah #6 and John #9 are 98.1 units apart
[16:36:53] ⚠️ Warning: David #6 and Jane #8 are 65.1 units apart
[16:36:53] ⚠️ Warning: David #6 and Emily #8 are 64.7 units apart
[16:36:53] ⚠️ Warning: Emily #6 and Lisa #8 are 76.7 units apart
[16:36:53] ⚠️ Warning: Chris #6 and Michael #7 are 90.3 units apart
[16:36:53] ⚠️ Warning: Chris #6 and Lisa #7 are 52.2 units apart
[16:36:53] ⚠️ Warning: Chris #6 and Michael #8 are 75.6 units apart
[16:36:53] ⚠️ Warning: Chris #6 and Sarah #8 are 90.6 units apart
[16:36:53] ⚠️ CRITICAL: Amanda #6 and Jane #7 are 45.0 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Robert #6 and Sarah #7 are 71.9 units apart
[16:36:53] ⚠️ Warning: Robert #6 and Michael #8 are 62.0 units apart
[16:36:53] ⚠️ Warning: Robert #6 and Sarah #8 are 72.5 units apart
[16:36:53] ⚠️ CRITICAL: Robert #6 and Chris #8 are 26.8 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Robert #6 and Amanda #9 are 70.8 units apart
[16:36:53] ⚠️ Warning: Robert #6 and Jane #10 are 85.4 units apart
[16:36:53] ⚠️ Warning: Lisa #6 and David #8 are 87.9 units apart
[16:36:53] ⚠️ Warning: Lisa #6 and Chris #9 are 68.1 units apart
[16:36:53] ⚠️ CRITICAL: John #7 and Robert #7 are 27.7 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Michael #7 and Lisa #7 are 70.1 units apart
[16:36:53] ⚠️ Warning: Michael #7 and Emily #10 are 72.8 units apart
[16:36:53] ⚠️ Warning: Sarah #7 and Sarah #8 are 64.0 units apart
[16:36:53] ⚠️ Warning: Sarah #7 and Chris #8 are 97.5 units apart
[16:36:53] ⚠️ Warning: Sarah #7 and Amanda #9 are 63.4 units apart
[16:36:53] ⚠️ CRITICAL: Sarah #7 and Jane #10 are 35.1 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: David #7 and Michael #9 are 10.3 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Lisa #7 and Michael #8 are 87.1 units apart
[16:36:53] ⚠️ Warning: Lisa #7 and Sarah #8 are 67.1 units apart
[16:36:53] ⚠️ Warning: Lisa #7 and Jane #10 are 94.2 units apart
[16:36:53] ⚠️ Warning: John #8 and John #10 are 93.0 units apart
[16:36:53] ⚠️ Warning: Michael #8 and Sarah #8 are 54.1 units apart
[16:36:53] ⚠️ Warning: Michael #8 and Chris #8 are 54.2 units apart
[16:36:53] ⚠️ Warning: Michael #8 and Jane #10 are 92.0 units apart
[16:36:53] ⚠️ Warning: Sarah #8 and Chris #8 are 84.5 units apart
[16:36:53] ⚠️ CRITICAL: Sarah #8 and Jane #10 are 41.1 units apart - COLLISION RISK!
[16:36:53] ⚠️ CRITICAL: David #8 and Chris #9 are 49.1 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Emily #8 and David #10 are 87.4 units apart
[16:36:53] ⚠️ Warning: Chris #8 and Amanda #9 are 94.5 units apart
[16:36:53] ⚠️ Warning: Chris #8 and Robert #9 are 94.9 units apart
[16:36:53] ⚠️ CRITICAL: David #9 and Lisa #9 are 40.6 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Amanda #9 and Jane #10 are 97.5 units apart
[16:36:53] ⚠️ Warning: Michael #10 and Emily #10 are 89.0 units apart
[16:36:53] ⚠️ CRITICAL: Michael #10 and Chris #10 are 37.8 units apart - COLLISION RISK!
[16:36:53] ⚠️ Warning: Emily #10 and Chris #10 are 84.8 units apart
[16:36:54] Robert #3 acknowledges radio instruction: Proceeding to (407,234) - Traffic separation
[16:36:54] Emily #8 moving 🚀 Northwest (424 units)
[16:36:54] Amanda #10 moving 🚀 Northwest (298 units)
[16:36:54] Jane #6 moving 🚀 Southwest (1392 units)
[16:36:54] Michael #5 moving 🚀 East (288 units)
[16:36:54] Lisa #9 moving 🚀 South (1192 units)
[16:36:55] Chris #9 moving 🚀 East (186 units)
[16:36:55] ⚠️ Warning: Jane #1 and Robert #5 are 75.7 units apart
[16:36:55] ⚠️ Warning: Jane #1 and Sarah #9 are 85.8 units apart
[16:36:55] ⚠️ Warning: Michael #1 and Amanda #8 are 67.5 units apart
[16:36:55] ⚠️ CRITICAL: Michael #1 and David #10 are 29.9 units apart - COLLISION RISK!
[16:36:55] ⚠️ CRITICAL: Sarah #1 and John #2 are 38.2 units apart - COLLISION RISK!
[16:36:55] ⚠️ Warning: Sarah #1 and Amanda #2 are 54.4 units apart
[16:36:55] ⚠️ Warning: Sarah #1 and Lisa #2 are 99.1 units apart
[16:36:55] ⚠️ CRITICAL: Sarah #1 and Michael #4 are 43.6 units apart - COLLISION RISK!
[16:36:55] ⚠️ Warning: Sarah #1 and Amanda #5 are 80.0 units apart
[16:36:55] ⚠️ CRITICAL: Sarah #1 and Robert #6 are 44.8 units apart - COLLISION RISK!
[16:36:55] ⚠️ Warning: Sarah #1 and Sarah #7 are 89.8 units apart
[16:36:55] ⚠️ CRITICAL: Sarah #1 and Amanda #9 are 18.0 units apart - COLLISION RISK!
[16:36:55] ⚠️ CRITICAL: Emily #1 and Jane #4 are 36.1 units apart - COLLISION RISK!
[16:36:55] ⚠️ Warning: Emily #1 and Sarah #4 are 60.2 units apart
[16:36:55] ⚠️ Warning: Emily #1 and Robert #8 are 58.2 units apart
[16:36:55] ⚠️ Warning: Chris #1 and Robert #5 are 65.2 units apart
[16:36:55] ⚠️ Warning: Amanda #1 and David #6 are 60.6 units apart
[16:36:55] ⚠️ Warning: Amanda #1 and Jane #8 are 98.1 units apart
[16:36:55] ⚠️ Warning: Amanda #1 and Emily #8 are 60.2 units apart
[16:36:55] ⚠️ Warning: Robert #1 and Michael #2 are 67.0 units apart
[16:36:55] ⚠️ Warning: Robert #1 and Michael #3 are 85.5 units apart
[16:36:55] ⚠️ CRITICAL: John #2 and Amanda #2 are 35.5 units apart - COLLISION RISK!
[16:36:55] ⚠️ Warning: John #2 and Michael #4 are 81.7 units apart
[16:36:55] ⚠️ CRITICAL: John #2 and Amanda #5 are 47.0 units apart - COLLISION RISK!
[16:36:55] ⚠️ Warning: John #2 and Robert #6 are 60.1 units apart
